// NAME,ATTACKER,DEFENDERS,ADJUST
//Heavy Tank vs Light Mounted,,,
hm11_vs_lm10,HeavyMounted1UpgradeEpoch11,[LightMounted1UpgradeEpoch10],200
//Heavy Tank vs Heavy Mounted,,,
hm11_vs_hm10,HeavyMounted1UpgradeEpoch11,[HeavyMounted1UpgradeEpoch10],150
//Heavy Tank vs Light Infantry,,,
hm10_vs_li9,HeavyMounted1UpgradeEpoch10,[LightInfantryUpgradeEpoch9],60
hm11_vs_li11,HeavyMounted1UpgradeEpoch11,[LightInfantryUpgradeEpoch11],60
hm12_vs_li11,HeavyMounted1UpgradeEpoch12,[LightInfantryUpgradeEpoch11],60
hm13_vs_li13,HeavyMounted1UpgradeEpoch13,[LightInfantryUpgradeEpoch13],60
hm15_vs_li15,HeavyMounted1UpgradeEpoch15,[LightInfantryUpgradeEpoch15],50
//Heavy Tank vs Heavy Infantry,,,
hm13_vs_hi14,HeavyMounted1UpgradeEpoch13,[HeavyInfantry2UpgradeEpoch14],150
//Light Tank vs Light Tank,,,
lm12_vs_lm11,LightMounted1UpgradeEpoch12,[LightMounted1UpgradeEpoch11],120
//Light Tank vs Heavy Tank,,,
lm11_vs_hm11,LightMounted1UpgradeEpoch11,[HeavyMounted1UpgradeEpoch11],65
lm11_vs_hm12,LightMounted1UpgradeEpoch11,[HeavyMounted1UpgradeEpoch12],65
lm12_vs_hm11,LightMounted1UpgradeEpoch12,[HeavyMounted1UpgradeEpoch11],70
lm12_vs_hm12,LightMounted1UpgradeEpoch12,[HeavyMounted1UpgradeEpoch12],65
//Heavy Mounted vs Light Infantry,,,
hm2_vs_li1,HeavyMounted1UpgradeEpoch1,[LightInfantryUpgradeEpoch1],50
hm4_vs_li3,HeavyMounted1UpgradeEpoch4,[LightInfantryUpgradeEpoch3],50
hm6_vs_li5,HeavyMounted1UpgradeEpoch6,[LightInfantryUpgradeEpoch5],50
hm6_vs_li7,HeavyMounted1UpgradeEpoch6,[LightInfantryUpgradeEpoch7],60
hm8_vs_li7,HeavyMounted1UpgradeEpoch8,[LightInfantryUpgradeEpoch7],60
hm10_vs_li11,HeavyMounted1UpgradeEpoch10,[LightInfantryUpgradeEpoch11],30
//Heavy Mounted vs Heavy Mounted,,,
//hm6_vs_hm8,HeavyMounted1UpgradeEpoch6,[HeavyMounted1UpgradeEpoch8],75
//hm7_vs_hm9,HeavyMounted1UpgradeEpoch7,[HeavyMounted1UpgradeEpoch9],75
//hm7_vs_hm11,HeavyMounted1UpgradeEpoch7,[HeavyMounted1UpgradeEpoch11],75
//hm7_vs_hm13,HeavyMounted1UpgradeEpoch7,[HeavyMounted1UpgradeEpoch13],75
//hm7_vs_hm15,HeavyMounted1UpgradeEpoch7,[HeavyMounted1UpgradeEpoch15],50
//hm11_vs_hm13,HeavyMounted1UpgradeEpoch11,[HeavyMounted1UpgradeEpoch13],75
//hm11_vs_hm15,HeavyMounted1UpgradeEpoch11,[HeavyMounted1UpgradeEpoch15],50
//hm15_vs_hm9,HeavyMounted1UpgradeEpoch15,[HeavyMounted1UpgradeEpoch9],150
//hm15_vs_hm13,HeavyMounted1UpgradeEpoch15,[HeavyMounted1UpgradeEpoch13],115
//Heavy Heli vs Heavy Inf,,,
hm2_vs_hi13,HeavyMounted2UpgradeEpoch13,[HeavyInfantry1UpgradeEpoch13],75
hm2_vs_hi14,HeavyMounted2UpgradeEpoch13,[HeavyInfantry2UpgradeEpoch14],75
//Light Heli vs Heavy Inf,,,
lm2_vs_hi13,LightMounted2UpgradeEpoch13,[HeavyInfantry1UpgradeEpoch13],50
lm2_vs_hi14,LightMounted2UpgradeEpoch13,[HeavyInfantry2UpgradeEpoch14],50
//Light Infantry vs Heavy Infantry (E1-E15 exchange: H1 1.3:1 vs L1; H2 1.2:1 vs H1; L1 1.4:1 vs H2),,,
// (1) HeavyInfantry1 vs LightInfantry: 1.3:1 → H1 deal 130%, L1 deal 77%
hi1_1_vs_li1,HeavyInfantry1UpgradeEpoch1,[LightInfantryUpgradeEpoch1],130
hi1_3_vs_li3,HeavyInfantry1UpgradeEpoch3,[LightInfantryUpgradeEpoch3],130
hi1_5_vs_li5,HeavyInfantry1UpgradeEpoch5,[LightInfantryUpgradeEpoch5],130
hi1_7_vs_li7,HeavyInfantry1UpgradeEpoch7,[LightInfantryUpgradeEpoch7],130
hi1_9_vs_li9,HeavyInfantry1UpgradeEpoch9,[LightInfantryUpgradeEpoch9],130
hi1_11_vs_li11,HeavyInfantry1UpgradeEpoch11,[LightInfantryUpgradeEpoch11],130
hi1_13_vs_li13,HeavyInfantry1UpgradeEpoch13,[LightInfantryUpgradeEpoch13],130
hi1_15_vs_li15,HeavyInfantry1UpgradeEpoch15,[LightInfantryUpgradeEpoch15],130
li1_vs_hi1_1,LightInfantryUpgradeEpoch1,[HeavyInfantry1UpgradeEpoch1],77
li3_vs_hi1_3,LightInfantryUpgradeEpoch3,[HeavyInfantry1UpgradeEpoch3],77
li5_vs_hi1_5,LightInfantryUpgradeEpoch5,[HeavyInfantry1UpgradeEpoch5],77
li7_vs_hi1_7,LightInfantryUpgradeEpoch7,[HeavyInfantry1UpgradeEpoch7],77
li9_vs_hi1_9,LightInfantryUpgradeEpoch9,[HeavyInfantry1UpgradeEpoch9],77
li11_vs_hi1_11,LightInfantryUpgradeEpoch11,[HeavyInfantry1UpgradeEpoch11],77
li13_vs_hi1_13,LightInfantryUpgradeEpoch13,[HeavyInfantry1UpgradeEpoch13],77
